lemma,sedes,x,z
ἄλαστος,2.5,1,-1.95959179422654
ἄλαστος,4.5,7,+0.734846922834954
ἄλαστος,10.5,3,-1.06144555520604
ἄλγἐ,1,3,+0.816496580927726
ἄλγἐ,9,2,-1.22474487139159
ἄλγεϊ,7,2,
ἄλγεϊ,9,2,
ἄλγος,1,9,-1.59996060471758
ἄλγος,3,17,-1.31926576178467
ἄλγος,5,11,-1.52978689398435
ἄλγος,7,48,-0.23157324541965
ἄλγος,9,85,+1.06664040314505
ἄλγος,11,30,-0.863136642018694
ἄλεισον,4.5,4,-1.3228756555323
ἄλεισον,10.5,7,+0.755928946018454
ἄλειφαρ,4.5,2,-1.42636018961081
ἄλειφαρ,6.5,11,+0.734363661977842
ἄλειφαρ,8.5,1,-1.6664406175651
ἄλειφαρ,10.5,3,-1.18627976165651
ἄλεντα,10.5,1,
ἄλευρον,10.5,1,
ἄλη,2.5,1,-1.73205080756888
ἄλη,6.5,4,+0.866025403784439
ἄλη,8,1,-1.73205080756888
ἄλη,10,3,+0
ἄληκτος,3,2,+0.707106781186547
ἄληκτος,7,1,-1.4142135623731
ἄλημα,4.5,1,
ἄλθομαι,1,1,
ἄλιστος,10.5,1,
ἄλκανδρος,1,1,
ἄλκαρ,1,1,-2.58957184741825
ἄλκαρ,5,2,-2.15797653951521
ἄλκαρ,9,8,+0.431595307903042
ἄλκαρ,11,8,+0.431595307903042
ἄλκηστις,1,1,
ἄλκιμος,1,5,-2.5298221281347
ἄλκιμος,3,17,-0.838194078598848
ἄλκιμος,7,22,-0.133349057958908
ἄλκιμος,9,30,+0.994402975064996
ἄλκων,1,4,-1.11803398874989
ἄλκων,11,5,+0.894427190999916
ἄλλῃ,1,14,-0.471233239683173
ἄλλῃ,2,2,-1.98837440158997
ἄλλῃ,3,1,-2.11480283174887
ἄλλῃ,4,1,-2.11480283174887
ἄλλῃ,6,1,-2.11480283174887
ἄλλῃ,8,1,-2.11480283174887
ἄλλῃ,11,24,+0.793051061905828
ἄλλῃς,7,2,
ἄλληκτος,1,3,-1.21987509118567
ἄλληκτος,3,3,-1.21987509118567
ἄλληκτος,4,8,+1.0978875820671
ἄλληκτος,8,5,-0.29277002188456
ἄλλητος,8,1,
ἄλλοθε,9,2,
ἄλλοθεν,1,3,-1.9084142297865
ἄλλοθεν,3,19,-0.890593307233699
ἄλλοθεν,7,11,-1.3995037685101
ἄλλοθεν,9,46,+0.826979499574149
ἄλλοθι,1,3,+0
ἄλλοθι,5,1,-2
ἄλλοθι,7,2,-1
ἄλλοθι,9,4,+1
ἄλλος,1,436,+0.519313821355894
ἄλλος,2,114,-1.30153759388648
ἄλλος,3,157,-1.05838041731684
ἄλλος,4,77,-1.51076586209756
ἄλλος,5,232,-0.634269062834925
ἄλλος,6,15,-1.86136458180261
ἄλλος,7,108,-1.33546650224503
ἄλλος,8,11,-1.88398385404165
ἄλλος,9,243,-0.572066064177577
ἄλλος,11,560,+1.220511260766
ἄλλοσε,1,2,+0.5
ἄλλοσε,3,1,-2
ἄλλοσε,9,2,+0.5
ἄλλοτε,1,80,+0.716087449682257
ἄλλοτε,3,21,-2.00762148561592
ἄλλοτε,5,1,-2.93091265012378
ἄλλοτε,7,5,-2.74625441722221
ἄλλοτε,9,65,+0.0236190763013637
ἄλλοφος,7,1,
ἄλλυδις,1,1,-2.39825898888317
ἄλλυδις,3,13,-0.548817887738156
ἄλλυδις,7,5,-1.78177862183483
ἄλλυδις,9,22,+0.838262938120607
ἄλλῷ,1,1,
ἄλλωθεν,3,1,
ἄλλως,1,3,-1.4440097264375
ἄλλως,2,8,+0.0116452397293347
ἄλλως,3,2,-1.73514071967087
ἄλλως,7,1,-2.02627171290424
ἄλλως,11,11,+0.885038219429437
ἄλμα,9,1,
ἄλος,2,1,
ἄλοχος,2,23,-1.15399024091848
ἄλοχος,4,71,+1.06899379257887
ἄλοχος,6,44,-0.181434726263387
ἄλοχος,8,8,-1.8486727513864
ἄλοχος,10,24,-1.10767807355395
ἄλπον,1,3,
ἄλπος,5,1,
ἄλπου,11,1,
ἄλσος,1,12,-0.32547227745206
ἄλσος,2,1,-2.47358930863565
ἄλσος,5,5,-1.69245584275071
ἄλσος,7,20,+1.23679465431783
ἄλσος,9,9,-0.911322376865767
ἄλσος,11,13,-0.130188910980824
ἄλτης,1,1,
ἄλτης,8,1,
ἄλτις,11,1,
ἄλυβας,4,1,
ἄλυξις,10.5,2,
ἄλυς,2.5,1,-1.73205080756888
ἄλυς,8,3,+0.577350269189626
ἄλυτος,4,11,+0.738548945875997
ἄλυτος,6,3,-1.35400640077266
ἄλυτος,8,3,-1.35400640077266
ἄλφιτον,1,3,-1.11508523315599
ἄλφιτον,3,3,-1.11508523315599
ἄλφιτον,7,10,+0.994535478220205
ἄλφιτον,9,4,-0.813710845816531
ἄλχι,3,1,
ἄμαθος,4,3,+0.577350269189626
ἄμαθος,8,1,-1.73205080756888
ἄμαλλα,4.5,2,+0.707106781186547
ἄμαλλα,10.5,1,-1.4142135623731
ἄμαξα,2.5,1,-2.73753167206219
ἄμαξα,4.5,13,-0.927976837987182
ἄμαξα,6.5,1,-2.73753167206219
ἄμαξα,10.5,24,+0.730781759914906
ἄμασις,10.5,1,
ἄμβλυνται,3,1,
ἄμβροτος,1,12,-1.31658850899665
ἄμβροτος,3,4,-2.47110119816741
ἄμβροτος,7,27,+0.848122783198517
ἄμβροτος,9,22,+0.126552352466794
ἄμειπτο,4.5,1,
ἄμεμπτος,6.5,13,+0.277350098112615
ἄμεμπτος,8.5,1,-3.60555127546399
ἄμετρος,10.5,1,
ἄμη,6.5,1,
ἄμητος,1,2,-0.861640436855329
ἄμητος,3,5,+0.984731927834662
ἄμητος,7,1,-1.47709789175199
ἄμητος,9,2,-0.861640436855329
ἄμιτρος,10.5,2,
ἄμμιγα,1,1,-1.41421356237309
ἄμμιγα,3,1,-1.41421356237309
ἄμμιγα,9,4,+0.707106781186547
ἄμμορος,1,4,-0.894596317822076
ἄμμορος,3,2,-1.67250615940649
ἄμμορος,7,5,-0.505641397029869
ἄμμορος,9,9,+1.05017828613896
ἄμναστοι,1,1,
ἄμνηστος,3,2,+1.22474487139159
ἄμνηστος,4,1,-0.816496580927726
ἄμνηστος,7,1,-0.816496580927726
ἄμνηστος,8,1,-0.816496580927726
ἄμοιρος,10.5,1,
ἄμοτον,2,15,+1.0463849742385
ἄμοτον,4,7,-0.69306017774238
ἄμοτον,6,6,-0.910490821739989
ἄμοτον,8,4,-1.34535210973521
ἄμοτονπονέοντο,2,1,
ἄμοτος,2,1,
ἄμπελος,1,36,+0.639733800499604
ἄμπελος,3,1,-2.05985209522568
ἄμπελος,7,10,-1.36567286489632
ἄμπελος,9,4,-1.82845901844922
ἄμπνειεν,8,1,
ἄμπνευσις,1,1,
ἄμπυξ,1,1,-1.4142135623731
ἄμπυξ,7,2,+0.707106781186547
ἄμπωτις,4,1,
ἄμυδις,2,21,+0.939754906437957
ἄμυδις,4,13,-0.352408089914234
ἄμυδις,6,7,-1.32153033717838
ἄμυδις,8,3,-1.96761183535447
ἄμυκος,2,1,-1.50965882484814
ἄμυκος,4,5,+1.07832773203438
ἄμυκος,6,1,-1.50965882484814
ἄμυκος,8,3,-0.215665546406877
ἄμυκος,10,2,-0.862662185627507
ἄμυλος,8,1,
ἄμυρος,8,1,
ἄμυρος,10,1,
ἄμφεβαν,1,1,
ἄμφεχε,1,1,-1.95670264960319
ἄμφεχε,7,3,-1.19926936588583
ἄμφεχε,9,8,+0.694313843407583
ἄμφεχον,1,1,
ἄμφθ,1,1,
